ticker,step26_status,step26_missing_fields,step26_block_reasons,step28_fetch_error_type,step28_market_data_available,step28_last_price_date,step28_last_close,recovery_label
ABI,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,19.3,RECOVERED_FROM_STEP26_BLOCKED
ABR,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-11,12.4,RECOVERED_FROM_STEP26_BLOCKED
ABS,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,2.93,RECOVERED_FROM_STEP26_BLOCKED
ABT,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,55.3,RECOVERED_FROM_STEP26_BLOCKED
ABW,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""avg_volume_20d"", ""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,11.3,RECOVERED_FROM_STEP26_BLOCKED
ACB,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,26.5,RECOVERED_FROM_STEP26_BLOCKED
ACC,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,12.6,RECOVERED_FROM_STEP26_BLOCKED
ACE,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-08,36.0,RECOVERED_FROM_STEP26_BLOCKED
ACG,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,33.45,RECOVERED_FROM_STEP26_BLOCKED
ACL,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,11.8,RECOVERED_FROM_STEP26_BLOCKED
ACM,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,0.5,RECOVERED_FROM_STEP26_BLOCKED
ACS,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,5.4,RECOVERED_FROM_STEP26_BLOCKED
ACV,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,43.7,RECOVERED_FROM_STEP26_BLOCKED
ADC,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-05-27,19.0,RECOVERED_FROM_STEP26_BLOCKED
ADG,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-11,8.44,RECOVERED_FROM_STEP26_BLOCKED
ADP,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,22.8,RECOVERED_FROM_STEP26_BLOCKED
ADS,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,9.16,RECOVERED_FROM_STEP26_BLOCKED
AFX,BLOCKED_INSUFFICIENT_MARKET_DATA,"[""capex"", ""cfo"", ""equity"", ""gross_profit"", ""last_close"", ""last_price_date"", ""net_income"", ""revenue"", ""total_assets"", ""total_liabilities""]","[""Primary market data missing or incomplete.""]",OK,True,2026-06-12,10.35,RECOVERED_FROM_STEP26_BLOCKED
