ticker,in_legacy_quality,in_legacy_market,in_ranking,exchange,sector_raw,has_market_data,has_finance_data,data_quality_status,possible_issue,recommended_action
ABI,True,True,True,UPCoM,Tài chính / Bảo hiểm / Bảo hiểm phi nhân thọ / Bảo hiểm phi nhân thọ,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ABR,True,True,True,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Tư vấn & Hỗ trợ KD,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ABS,True,True,True,HOSE,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ABT,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ABW,True,True,True,UPCoM,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AC4,True,True,True,UPCoM,Công nghiệp / Hàng hóa công nghiệp / Kỹ thuật xây dựng,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ACB,True,True,True,HOSE,Ngân hàng / Ngân hàng / Ngân hàng / Ngân hàng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACC,True,True,True,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACE,True,True,True,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACG,True,True,True,HOSE,Nguyên vật liệu / Tài nguyên Cơ bản / Lâm nghiệp và Giấy / Lâm sản và Chế biến gỗ,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACL,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACM,True,True,True,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai khoáng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACS,True,True,True,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ACV,True,True,True,UPCoM,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ADC,True,True,True,HNX,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ADG,True,True,True,HOSE,Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Dịch vụ truyền thông,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ADP,True,True,True,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ADS,True,True,True,HOSE,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AFC,True,True,True,UPCoM,Công nghiệp / Dịch vụ thương mại và chuyên nghiệp / Dịch vụ và thiết bị thương mại,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AFX,True,True,True,HOSE,Dịch vụ Tiêu dùng / Bán lẻ / Phân phối thực phẩm & dược phẩm / Phân phối thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AG1,True,True,True,UPCoM,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AGC,True,True,True,HNX,"Tiêu dùng thiết yếu / Thực phẩm, đồ uống và thuốc lá / Thực phẩm",False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AGD,True,True,True,HOSE,"Tiêu dùng thiết yếu / Thực phẩm, đồ uống và thuốc lá / Thực phẩm",False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AGE,True,True,True,,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Chất thải & Môi trường,False,False,INSUFFICIENT_DATA,UNKNOWN_EXCHANGE,Verify exchange/listing identity before stage_2+.
AGF,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AGG,True,True,True,HOSE,Tài chính / Bất động sản / Bất động sản / Bất động sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AGM,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AGP,True,True,True,UPCoM,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AGR,True,True,True,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AGX,True,True,True,UPCoM,Dịch vụ Tiêu dùng / Bán lẻ / Phân phối thực phẩm & dược phẩm / Phân phối thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AIC,True,True,True,UPCoM,Tài chính / Bảo hiểm / Bảo hiểm phi nhân thọ / Bảo hiểm phi nhân thọ,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AIG,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ALC,True,True,True,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Vận tải Thủy,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ALP,True,True,True,HOSE,Công nghiệp / Hàng hóa công nghiệp / Kỹ thuật xây dựng,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ALT,True,True,True,HNX,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ALV,True,True,True,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AMC,True,True,True,HNX,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai khoáng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AMD,True,True,True,UPCoM,Tài chính / Bất động sản / Bất động sản / Bất động sản,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AME,True,True,True,HNX,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Điện tử & Thiết bị điện / Thiết bị điện,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AMP,True,True,True,UPCoM,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AMS,True,True,True,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Nhà cung cấp thiết bị,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AMV,True,True,True,HNX,Dược phẩm và Y tế / Y tế / Thiết bị và Dịch vụ Y tế / Thiết bị y tế,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ANC11601,True,True,True,HOSE,,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ANT,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ANV,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APC,True,True,True,UPCoM,Dược phẩm và Y tế / Y tế / Dược phẩm / Công nghệ sinh học,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APF,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APG,True,True,True,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APH,True,True,True,HOSE,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Hàng công nghiệp / Containers & Đóng gói,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
API,True,True,True,HNX,Tài chính / Bất động sản / Bất động sản / Bất động sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APL,True,True,True,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Công nghiệp nặng / Máy công nghiệp,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
APP,True,True,True,UPCoM,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APS,True,True,True,HNX,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
APT,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AQN,True,True,True,UPCoM,Tiêu dùng không thiết yếu / Thời trang và hàng lâu bền / Thời trang và dệt may,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ARM,True,True,True,HNX,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Tư vấn & Hỗ trợ Kinh doanh / Nhà cung cấp thiết bị,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ART,True,True,True,UPCoM,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Môi giới chứng khoán,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ASA,True,True,True,HOSE,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng cá nhân,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ASD,True,True,True,UPCoM,Công nghiệp / Hàng hóa công nghiệp / Kỹ thuật xây dựng,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ASG,True,True,True,HOSE,"Công nghiệp / Hàng & Dịch vụ Công nghiệp / Vận tải / Kho bãi, hậu cần và bảo dưỡng",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ASIAGF,True,True,True,HOSE,Tài chính / Dịch vụ tài chính / Thị trường vốn,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ASM,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ASP,True,True,True,HOSE,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Phân phối xăng dầu & khí đốt",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AST,True,True,True,HOSE,Dịch vụ Tiêu dùng / Bán lẻ / Bán lẻ / Phân phối hàng chuyên dụng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ATA,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ATB,True,True,True,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ATD,True,True,True,UPCoM,Tiêu dùng không thiết yếu / Thời trang và hàng lâu bền / Thời trang và dệt may,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
ATG,True,True,True,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai khoáng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
ATS,True,True,True,HNX,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Nhà hàng và quán bar,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AUM,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AVC,True,True,True,UPCoM,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Sản xuất & Phân phối Điện / Sản xuất & Phân phối Điện",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
AVF,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AVG,True,True,True,UPCoM,"Nguyên vật liệu / Hóa chất / Hóa chất / Sản phẩm hóa dầu, Nông dược & Hóa chất khác",False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
AVS,True,True,True,HNX,Tài chính / Dịch vụ tài chính / Thị trường vốn,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
B82,True,True,True,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BAB,True,True,True,HNX,Ngân hàng / Ngân hàng / Ngân hàng / Ngân hàng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BAF,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Nuôi trồng nông & hải sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BAL,True,True,True,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Hàng công nghiệp / Containers & Đóng gói,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BAM,True,True,True,UPCoM,Nguyên vật liệu / Nguyên vật liệu / Khai khoáng và luyện kim,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BAOMINH,True,True,True,UPCoM,,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BAS,True,True,True,HOSE,"Tiêu dùng thiết yếu / Thực phẩm, đồ uống và thuốc lá / Thực phẩm",False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BAX,True,True,True,HNX,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BB,True,True,True,,,False,False,CACHE_MISSING,UNKNOWN_EXCHANGE,Verify exchange/listing identity before stage_2+.
BBC,True,True,True,HOSE,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BBH,True,True,True,UPCoM,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Hàng công nghiệp / Containers & Đóng gói,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BBM,True,True,True,UPCoM,Hàng Tiêu dùng / Thực phẩm và đồ uống / Bia và đồ uống / Sản xuất bia,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BBS,True,True,True,HNX,Công nghiệp / Hàng & Dịch vụ Công nghiệp / Hàng công nghiệp / Containers & Đóng gói,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BBT,True,True,True,UPCoM,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng cá nhân,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCA,True,True,True,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Kim loại / Thép và sản phẩm thép,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCB,True,True,True,UPCoM,Nguyên vật liệu / Tài nguyên Cơ bản / Khai khoáng / Khai thác Than,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BCC,True,True,True,HNX,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCE,True,True,True,HOSE,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCF,True,True,True,HNX,Hàng Tiêu dùng / Thực phẩm và đồ uống / Sản xuất thực phẩm / Thực phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCG,True,True,True,HOSE,Tài chính / Dịch vụ tài chính / Dịch vụ tài chính / Tài chính đặc biệt,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BCI,True,True,True,HOSE,Bất động sản / Bất động sản / Quản lý và phát triển bất động sản,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BCM,True,True,True,HOSE,Tài chính / Bất động sản / Bất động sản / Bất động sản,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCO,True,True,True,,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,False,False,INSUFFICIENT_DATA,UNKNOWN_EXCHANGE,Verify exchange/listing identity before stage_2+.
BCP,True,True,True,UPCoM,Dược phẩm và Y tế / Y tế / Dược phẩm / Dược phẩm,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BCR,True,True,True,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Xây dựng,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BCV,True,True,True,UPCoM,Dịch vụ Tiêu dùng / Du lịch và Giải trí / Du lịch & Giải trí / Khách sạn,False,False,INSUFFICIENT_DATA,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BDB,True,True,True,HNX,"Dịch vụ Tiêu dùng / Truyền thông / Truyền thông / Sách, ấn bản & sản phẩm văn hóa",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BDC,True,True,True,UPCoM,Công nghiệp / Hàng hóa công nghiệp / Kỹ thuật xây dựng,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BDF,True,True,True,UPCoM,Tiêu dùng không thiết yếu / Thời trang và hàng lâu bền / Thời trang và dệt may,False,False,CACHE_MISSING,MISSING_MARKET_DATA,Do not promote to stage_2+ until market data is present.
BDG,True,True,True,UPCoM,Hàng Tiêu dùng / Hàng cá nhân & Gia dụng / Hàng cá nhân / Hàng May mặc,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BDT,True,True,True,UPCoM,Công nghiệp / Xây dựng và Vật liệu / Xây dựng và Vật liệu / Vật liệu xây dựng & Nội thất,True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
BDW,True,True,True,UPCoM,"Tiện ích Cộng đồng / Điện, nước & xăng dầu khí đốt / Nước & Khí đốt / Nước",True,False,PARTIAL_PROVISIONAL_DATA,MISSING_FINANCE_DATA,Do not promote to stage_2+ until provisional or official finance data exists.
