stage_cap,ticker,raw_rank,balanced_rank,sector_bucket,firm_type,balance_action,diagnostic_reason
stage_4_deep_dive_shortlist,VSC,6,3,Công nghiệp,non_financial,PROMOTED_FOR_DIVERSITY,Balanced evidence workload allocation only. raw_rank=6; balance_action=PROMOTED_FOR_DIVERSITY; market_crosscheck=MAJOR_DIFF; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VIC,14,52,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=14; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VPI,15,53,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=15; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TVB,16,54,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=16; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,WSS,17,55,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=17; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VC3,19,56,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=19; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TIG,28,57,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=28; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TLD,39,58,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=39; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VC7,40,59,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=40; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VHG,42,60,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=42; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VTO,43,61,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=43; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VIP,44,62,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=44; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TVC,45,63,Tài chính,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=45; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TDP,47,64,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=47; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TNT,48,65,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=48; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TDC,52,66,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=52; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VC2,53,67,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=53; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TV1,54,68,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=54; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VUA,55,69,Tài chính,securities,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=55; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TTH,56,70,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=56; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TDH,57,71,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=57; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VNH,58,72,Tài chính,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=58; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TVD,60,73,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=60; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TPC,61,74,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=61; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VPH,62,75,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=62; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,THD,63,76,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=63; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,XMC,64,77,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=64; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VTV,67,78,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=67; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TV4,69,79,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=69; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VNP,71,80,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=71; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VCS,72,81,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=72; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VLF,73,82,Hàng Tiêu dùng,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=73; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VIS,74,83,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=74; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=PUBLIC_FILE_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,THT,75,84,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=75; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TDT,76,85,Hàng Tiêu dùng,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=76; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TRC,77,86,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=77; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TIP,78,87,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=78; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VNR,80,88,Tài chính,insurance,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=80; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TNS,81,89,Nguyên vật liệu,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=81; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TEG,82,90,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=82; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VLB,83,91,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=83; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VTK,85,92,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=85; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,TMT,86,93,Hàng Tiêu dùng,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=86; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VRC,87,94,Tài chính,real_estate,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=87; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
stage_2_evidence_candidates,VC9,89,95,Công nghiệp,non_financial,DEMOTED_SECTOR_CAP,Balanced evidence workload allocation only. raw_rank=89; balance_action=DEMOTED_SECTOR_CAP; market_crosscheck=LEGACY_MARKET_MISSING; finance_crosscheck=ONE_SOURCE_ONLY.
