ticker,manual_review_reason,missing_fields,technical_warning_flags,liquidity_warning_flags,verification_status,evidence_debt_reason
VCI,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VFS,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VDS,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VIG,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
TVS,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VRE,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VNE,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VOS,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
VTP,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
TLH,Prior L5 context requires manual review.,[],"[""NO_RICH_HISTORICAL_TECHNICAL_SERIES"", ""PRIMARY_ONLY_MARKET_DATA""]","[""PRIMARY_ONLY_LIQUIDITY_DATA""]",NEEDS_MANUAL_BCTC_REVIEW,"[""Market context remains primary-only."", ""No independent current market source-family confirmation."", ""Timing and liquidity context are not trade instructions.""]"
