ticker,stage,document_priority,document_requirement,period_target,period_type_target,preferred_document_category,preferred_source_tier,max_files_allowed,required,manual_review_required,reason
VSC,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VSC,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VGI,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VGI,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VGI,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VGI,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VGI,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCG,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCG,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCG,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCG,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCG,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNM,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNM,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNM,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNM,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNM,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVN,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVN,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVN,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVN,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVN,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VJC,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VJC,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VJC,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VJC,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VJC,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTZ,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTZ,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTZ,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTZ,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTZ,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
YEG,stage_4_deep_dive_shortlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
YEG,stage_4_deep_dive_shortlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
YEG,stage_4_deep_dive_shortlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
YEG,stage_4_deep_dive_shortlist,P3_same_period_previous_year_financial_statement,Same-period previous-year financial statement.,same_period_previous_year,matching_current_period,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
YEG,stage_4_deep_dive_shortlist,P4_three_year_audited_annual_statements,Three-year audited annual financial statements if available.,latest_three_audited_years,annual,financial_statement,1_user_manual_seed_vietstock_category_page,3,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCI,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCI,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VCI,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VFS,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VFS,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VFS,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VDS,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VDS,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VDS,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VIG,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VIG,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VIG,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVS,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVS,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TVS,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VRE,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VRE,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VRE,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNE,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNE,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VNE,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VOS,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VOS,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VOS,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTP,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTP,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
VTP,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TLH,stage_3_final_watchlist,P0_latest_consolidated_financial_statement,Latest consolidated financial statement if available.,latest_available,quarterly_or_semiannual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TLH,stage_3_final_watchlist,P1_latest_audited_annual_financial_statement,Latest audited annual financial statement if available.,latest_audited_annual,annual,financial_statement,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
TLH,stage_3_final_watchlist,P2_latest_annual_report,Latest annual report / BCTN if needed for business model evidence.,latest_annual,annual,annual_report,1_user_manual_seed_vietstock_category_page,1,True,True,EVIDENCE_SLOT_PLANNED_ONLY_NO_DOWNLOAD_FORCED
