ticker,input_rank,rank_source,stage,stage_assignment_status,assignment_reason,official_files_per_ticker_min,official_files_per_ticker_max,target_max_tickers_for_stage,template_only,manual_review_required,no_financial_claim
TVB,54,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
WSS,55,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VC3,56,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TIG,57,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TLD,58,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VC7,59,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VHG,60,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTO,61,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIP,62,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TVC,63,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDP,64,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TNT,65,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDC,66,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VC2,67,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TV1,68,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VUA,69,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TTH,70,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDH,71,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNH,72,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TVD,73,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TPC,74,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPH,75,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
THD,76,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
XMC,77,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTV,78,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TV4,79,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNP,80,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VCS,81,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VLF,82,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIS,83,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
THT,84,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDT,85,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TRC,86,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TIP,87,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNR,88,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TNS,89,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TEG,90,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VLB,91,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTK,92,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TMT,93,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VRC,94,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VC9,95,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TIS,96,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VKC,97,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VGP,98,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
UDJ,99,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
THI,100,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TV6,101,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VW3,102,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
THG,103,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VRG,104,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TTG,105,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TRA,106,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TH1,107,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
UDC,108,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VAF,109,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VSH,110,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VFG,111,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VEF,112,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPL,113,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TFC,114,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPD,115,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TID,116,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TMP,117,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPR,118,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TNW,119,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIF,120,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VGG,121,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VLA,122,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
UNI,123,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPS,124,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VID,125,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
UPH,126,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNG,127,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
WSB,128,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
UIC,129,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TST,130,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VEC,131,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VCA,132,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
YBM,133,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VMG,134,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDW,135,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTL,136,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
THB,137,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TMB,138,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TVT,139,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VET,140,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TVW,141,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TMC,142,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VPB,143,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
UPC,144,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTE,145,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VSN,146,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TLP,147,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VNZ,148,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VAV,149,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VCF,150,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VCB,151,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VMD,152,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
THP,153,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VTQ,154,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TKU,155,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TTT,156,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDB,157,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TOW,158,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VWS,159,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VSF,160,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TPB,161,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TDS,162,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TET,163,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIM,164,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
X20,165,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TSJ,166,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIB,167,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VDN,168,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TPH,169,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
XMP,170,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
TLI,171,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VIE,172,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VAB,173,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VHI,174,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
VDP,175,balanced_rank,stage_1_provisional_shortlist,ASSIGNED_FROM_RANK,"Rank used only to size official evidence workload, not investment recommendation.",0,0,500,False,False,True
