ticker,company_name,watchlist_status,manual_review_reason,missing_fields,source_conflicts,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,evidence_debt_reason
VCI,Công ty Cổ phần Chứng khoán Vietcap,WATCH_ONLY,Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available.,[],[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required.""]"
VRE,Công ty Cổ phần Vincom Retail,WATCH_ONLY,Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,MANUAL_REVIEW,Status is MANUAL_REVIEW. Manual BCTC/source verification required. Independent cross-check is not available. Unresolved fields are present.,"[""net_income""]",[],PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,"[""Market source remains primary-only."", ""Finance source remains provisional low."", ""Manual BCTC/source verification remains required."", ""Some fields remain unresolved.""]"
