ticker,company_name,primary_sector,primary_micro_sector,archetype,peer_group_id,peer_group_size,market_source_confidence,finance_source_confidence,crosscheck_status,verification_status,valuation_context,valuation_relative_to_peer,valuation_risk_score,provisional_risk_context_score,valuation_confidence,risk_flags,manual_review_required,manual_review_reason,missing_fields,source_conflicts,evidence_debt_reason,step20_status
VCI,Công ty Cổ phần Chứng khoán Vietcap,Tài chính,Tài chính::securities,securities,tài_chính_securities__securities,7,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,HIGH_CONTEXT_RISK,70,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.,[],[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,Tài chính,Tài chính::securities,securities,tài_chính_securities__securities,7,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,HIGH_CONTEXT_RISK,70,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.,[],[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Tài chính,Tài chính::securities,securities,tài_chính_securities__securities,7,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,HIGH_CONTEXT_RISK,70,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.,[],[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Tài chính,Tài chính::securities,securities,tài_chính_securities__securities,7,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,HIGH_CONTEXT_RISK,70,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.,[],[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Tài chính,Tài chính::securities,securities,tài_chính_securities__securities,7,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,HIGH_CONTEXT_RISK,70,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.,[],[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
VRE,Công ty Cổ phần Vincom Retail,Tài chính,Tài chính::real_estate,real_estate,tài_chính_real_estate__real_estate,1,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_MANUAL_REVIEW,PEER_GROUP_TOO_SMALL,INSUFFICIENT_DATA_RISK,90,MANUAL_REVIEW,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Peer group is too small for context comparison. Required fields are missing.,"[""net_income""]",[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_MANUAL_REVIEW_REQUIRED
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Công nghiệp,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT_DATA_RISK,80,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.,"[""net_income""]",[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,Công nghiệp,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT_DATA_RISK,80,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.,"[""net_income""]",[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Công nghiệp,Công nghiệp::non_financial,non_financial,công_nghiệp_non_financial__non_financial,5,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT_DATA_RISK,80,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.,"[""net_income""]",[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Nguyên vật liệu,Nguyên vật liệu::non_financial,non_financial,nguyên_vật_liệu_non_financial__non_financial,3,PROVISIONAL_PRIMARY_ONLY,PROVISIONAL_LOW,NOT_AVAILABLE,NEEDS_MANUAL_BCTC_REVIEW,VALUATION_CONTEXT_INSUFFICIENT_DATA,PEER_COMPARISON_INSUFFICIENT,INSUFFICIENT_DATA_RISK,80,INSUFFICIENT,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.,"[""net_income""]",[],"[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",STEP20_INSUFFICIENT_DATA
