ticker,company_name,primary_sector,primary_micro_sector,archetype,manual_review_reason,missing_fields,risk_flags,evidence_debt_reason,verification_status
VCI,Công ty Cổ phần Chứng khoán Vietcap,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,Tài chính,Tài chính::securities,securities,Context confidence is low under primary-only evidence.,[],"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VRE,Công ty Cổ phần Vincom Retail,Tài chính,Tài chính::real_estate,real_estate,Peer group is too small for context comparison. Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Công nghiệp,Công nghiệp::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,Công nghiệp,Công nghiệp::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Công nghiệp,Công nghiệp::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Nguyên vật liệu,Nguyên vật liệu::non_financial,non_financial,Required fields are missing.,"[""net_income""]","[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]","[""No independent current market source-family confirmation."", ""Official BCTC evidence has not been checked."", ""Step20 provides context only and requires human review.""]",NEEDS_MANUAL_BCTC_REVIEW
