ticker,valuation_risk_score,provisional_risk_context_score,risk_flags,manual_review_required,manual_review_reason
VCI,HIGH_CONTEXT_RISK,70,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.
VFS,HIGH_CONTEXT_RISK,70,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.
VDS,HIGH_CONTEXT_RISK,70,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.
VIG,HIGH_CONTEXT_RISK,70,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.
TVS,HIGH_CONTEXT_RISK,70,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Context confidence is low under primary-only evidence.
VRE,INSUFFICIENT_DATA_RISK,90,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""PEER_GROUP_TOO_SMALL"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Peer group is too small for context comparison. Required fields are missing.
VNE,INSUFFICIENT_DATA_RISK,80,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.
VOS,INSUFFICIENT_DATA_RISK,80,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.
VTP,INSUFFICIENT_DATA_RISK,80,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.
TLH,INSUFFICIENT_DATA_RISK,80,"[""FINANCE_DATA_LOW_CONFIDENCE"", ""MISSING_REQUIRED_FINANCE_FIELD"", ""NO_INDEPENDENT_MARKET_CROSSCHECK"", ""OFFICIAL_BCTC_NOT_VERIFIED"", ""SURVIVAL_WEAK_OR_UNKNOWN"", ""VALUATION_CONTEXT_INSUFFICIENT""]",True,Required fields are missing.
